follower_user_id,following_user_id
123621,15045
123621,14537
123621,12722
123621,192185
123621,2015
123621,62195
123621,183511
123621,19989
123621,230060
123621,30158
123621,212497
123621,41504
123621,502879
123621,73528
410643,211440
211440,410643
24658,9262
280816,4248
132442,14975
132442,41380
132442,33606
132442,276178
132442,152755
132442,136892
132442,92470
132442,280816
132442,232526
132442,225925
132442,230210
132442,174927
132442,205692
132442,359777
132442,445946
132442,24089
132442,177806
132442,213986
132442,21710
132442,56903
132442,522
132442,109190
132442,4808
132442,36982
132442,131069
132442,20495
132442,193940
132442,103109
132442,269247
38473,238085
38473,5649
267243,946
267243,21106
110228,107456
36894,103109
103109,36894
103109,132442
787,251686
251686,232526
8570,12546
8570,5300
8570,559
8570,4074
8570,145018
8570,20286
8570,382
8570,156450
8570,154442
8570,18661
8570,23047
8570,12
8570,40
8570,44839
8570,1680
8570,37291
137035,12705
410643,128290
410643,38904
410643,100351
410643,8989
410643,6392
369759,74
154442,25634
154442,234457
154442,16982
154442,11868
154442,522
154442,1
154442,4557
154442,16056
154442,151696
154442,7779
105600,6411
105600,6153
105600,6118
105600,5537
105600,5508
105600,5524
105600,5477
105600,15661
105600,15626
105600,15272
105600,14857
105600,15003
105600,14103
105600,13924
105600,13651
105600,13371
105600,11670
105600,11912
105600,11949
105600,12107
105600,12178
105600,12439
105600,12536
105600,4484
105600,4324
105600,3997
105600,3842
105600,13356
105600,13243
105600,13200
105600,10383
105600,10332
106677,13151
106677,559
106677,74
106677,10748
106677,144929
106677,23
106677,11670
106677,144770
106677,6363
106677,10099
106677,2996
105600,4815
105600,4827
105600,3566
105600,3257
105600,3058
105600,2922
105600,2685
105600,2672
105600,2544
502879,347650
237024,43130
237024,15195
42628,2081
42628,276178
42628,9893
42628,2877
42628,344466
42628,12601
42628,22891
42628,119
42628,1257
41380,8660
41380,79
41380,74
41380,38000
41380,239385
41380,232642
41380,132442
41380,5878
41380,175584
41380,2
41380,5
41380,16056
41380,340157
28220,39576
28220,2849
28220,7649
16004,10748
46024,262071
417407,225925
417407,43068
417407,177806
234590,5754
56619,934
56619,559
56619,183284
56619,546
56619,1880
56619,30720
48376,11670
2205,33265
2205,37580
11670,241817
11670,33265
11670,4152
11670,164653
11670,319492
11670,182469
11670,159893
11670,165005
11670,369759
11670,29181
11670,55260
11670,22211
11670,196937
11670,42166
11670,98746
11670,54696
11670,121097
11670,445946
11670,173923
11670,7676
11670,172589
11670,435128
11670,40139
11670,7772
11670,17199
11670,487
11670,3732
11670,10694
11670,6487
11670,92255
11670,148048
11670,138178
11670,3973
11670,340157
11670,89160
11670,37291
11670,40495
11670,133621
11670,332220
11670,174396
20556,16055
20556,23
20556,4248
144227,79
862,4074
347650,216599
347650,15003
347650,1990
347650,174927
347650,93273
347650,30720
347650,234590
347650,12178
347650,52313
347650,28396
347650,16
347650,9893
347650,194293
347650,54122
347650,124502
347650,22477
347650,40139
347650,127139
347650,42028
347650,113263
347650,59083
347650,148862
347650,153615
347650,23158
347650,128374
347650,245289
347650,41791
347650,159911
347650,83963
347650,6192
347650,163208
347650,67723
347650,146957
347650,46846
347650,176965
347650,194244
347650,502879
347650,364546
347650,15661
347650,154442
347650,50084
8534,7779
8534,7290
8534,4557
105600,2474
105600,2443
105600,2377
105600,2219
105600,2232
105600,1641
105600,1604
105600,1684
105600,1680
105600,1756
105600,1818
105600,1896
105600,1881
105600,1944
105600,1502
105600,1465
105600,1040
105600,1019
105600,954
105600,865
105600,845
105600,663
3665,159886
3665,2039
105600,355
105600,270
105600,232
105600,207
105600,182
105600,211440
105600,27275
105600,333240
105600,98746
105600,202931
4484,24658
4484,30720
4484,16295
4484,142499
183284,152820
196937,3149
196937,85
196937,94721
196937,372346
196937,550
196937,20982
196937,9758
196937,4808
946,267243
8843,267243
267243,50905
267243,132442
267243,205885
267243,131461
8534,20
8534,5
142499,374
11056,131461
280816,83768
22891,36143
43854,36143
36143,22891
262071,96285
10713,128159
262071,8843
128159,10713
131114,614
131114,74715
131114,111607
131114,28790
53663,27315
53663,7290
53663,133
53663,57291
53663,550
53663,175906
15893,145393
15893,11222
15893,104869
15893,43068
135873,9782
98746,865
487,18280
487,79850
114748,85553
98746,862
410643,225925
354458,1
354458,225925
15893,105413
15893,295219
15893,852
15893,2908
15893,417407
15893,4514
15893,117170
15893,5976
28220,48650
13336,72708
8656,787
8656,344466
8656,225925
8656,11868
8656,86108
8656,546
8656,30720
8656,12791
417407,1
417407,15893
291010,18942
15893,205885
15893,45530
345043,259358
345043,47296
205885,182726
192517,1147
133621,2
114748,23
98746,442
98746,349
98746,302
98746,248
98746,189
98746,149
98746,58
98746,48
81362,92470
92470,81362
92470,31017
65809,42568
127,18280
369759,26527
369759,67838
369759,56619
369759,25634
369759,8412
369759,85553
369759,239385
369759,234457
369759,24323
369759,6363
369759,203988
369759,4557
369759,47518
369759,151696
21585,79850
130692,13151
130692,7290
130692,24747
158596,7290
158596,36982
113348,364546
113348,354458
113348,354747
18280,11417
41340,183
41340,2298
14043,550
292602,7290
